lon1,lat1,lon2,lat2,n
-0.1277583,51.5073509,11.1217486,46.0747793,55
0.121817,52.205337,8.6724335,49.3987524,55
0.121817,52.205337,11.97456,57.70887,55
2.1734035,41.3850639,7.6868565,45.070312,55
11.3426163,44.494887,9.1859243,45.4654219,55
12.4949429,55.763516,12.5683371,55.6760968,55
12.4963655,41.9027835,16.9251681,52.406374,55
12.5683371,55.6760968,7.4474468,46.9479739,55
12.5683371,55.6760968,14.4378005,50.0755381,55
13.404954,52.5200066,26.1025384,44.4267674,55
14.5057515,46.0569465,24.938379,60.1698557,55
18.0685808,59.3293235,6.6322734,46.5196535,55
18.0685808,59.3293235,7.4474468,46.9479739,55
18.0685808,59.3293235,8.946256,44.4056499,55
23.7275388,37.9838096,7.0982068,50.73743,55
23.7275388,37.9838096,9.9936818,53.5510846,55
28.9783589,41.0082376,4.3517103,50.8503396,55
-3.7037902,40.4167754,17.1077477,48.1485965,56
-3.6372245,40.5372512,4.3517103,50.8503396,56
-3.188267,55.953252,13.404954,52.5200066,56
-1.890401,52.486243,4.3517103,50.8503396,56
-0.3762881,39.4699075,4.3517103,50.8503396,56
-0.1277583,51.5073509,-0.3762881,39.4699075,56
1.444209,43.604652,4.3517103,50.8503396,56
2.3522219,48.856614,22.9754118,37.8783815,56
2.3522219,48.856614,34.811272,31.892773,56
4.3517103,50.8503396,4.4777325,51.9244201,56
4.3570677,52.0115769,5.4697225,51.441642,56
6.9602786,50.937531,8.4036527,49.0068901,56
10.7522454,59.9138688,9.1859243,45.4654219,56
11.5819806,48.1351253,11.8767611,45.4064349,56
11.5819806,48.1351253,24.948073,60.1698566,56
12.4949429,55.763516,5.6653948,51.9691868,56
12.4963655,41.9027835,34.989571,32.7940463,56
13.404954,52.5200066,3.7174243,51.0543422,56
16.3738189,48.2081743,33.3822764,35.1855659,56
21.0122287,52.2296756,8.541694,47.3768866,56
22.9444191,40.6400629,23.7275388,37.9838096,56
23.019646,40.5485201,23.7275388,37.9838096,56
23.7275388,37.9838096,5.1214201,52.0907374,56
24.6559001,60.2054911,9.1829321,48.7758459,56
24.938379,60.1698557,5.6653948,51.9691868,56
24.938379,60.1698557,9.1859243,45.4654219,56
-3.7037902,40.4167754,8.6821267,50.1109221,57
-3.7037902,40.4167754,23.019646,40.5485201,57
-2.58791,51.454513,-3.7037902,40.4167754,57
-2.58791,51.454513,4.3517103,50.8503396,57
-0.1277583,51.5073509,7.8421043,47.9990077,57
0.121817,52.205337,8.541694,47.3768866,57
2.3522219,48.856614,6.7734556,51.2277411,57
4.3006999,52.0704978,7.0982068,50.73743,57
4.3570677,52.0115769,6.9602786,50.937531,57
5.4697225,51.441642,9.1859243,45.4654219,57
6.1431577,46.2043907,9.1859243,45.4654219,57
10.1227652,54.3232927,2.3522219,48.856614,57
11.1217486,46.0747793,2.3522219,48.856614,57
11.3426163,44.494887,16.3738189,48.2081743,57
11.4041024,47.2692124,2.3522219,48.856614,57
11.5819806,48.1351253,16.9251681,52.406374,57
12.4949429,55.763516,13.404954,52.5200066,57
12.5683371,55.6760968,14.5057515,46.0569465,57
13.404954,52.5200066,7.6868565,45.070312,57
14.4378005,50.0755381,4.3006999,52.0704978,57
16.3738189,48.2081743,24.7535746,59.4369608,57
17.1077477,48.1485965,19.040235,47.497912,57
17.6389267,59.8585638,5.6653948,51.9691868,57
19.040235,47.497912,4.7005176,50.8798438,57
19.040235,47.497912,24.938379,60.1698557,57
21.0122287,52.2296756,7.4474468,46.9479739,57
23.7275388,37.9838096,5.6653948,51.9691868,57
24.938379,60.1698557,32.8597419,39.9333635,57
-4.251806,55.864237,12.4963655,41.9027835,58
-3.7037902,40.4167754,-9.0567905,53.270668,58
-2.9915726,53.4083714,2.3522219,48.856614,58
-2.2426305,53.4807593,16.3738189,48.2081743,58
-1.2577263,51.7520209,13.404954,52.5200066,58
-0.1277583,51.5073509,22.9444191,40.6400629,58
2.1734035,41.3850639,6.6322734,46.5196535,58
2.189617,48.697161,2.3522219,48.856614,58
4.3006999,52.0704978,4.8951679,52.3702157,58
4.3006999,52.0704978,9.1859243,45.4654219,58
4.3570677,52.0115769,9.1859243,45.4654219,58
4.8951679,52.3702157,8.6724335,49.3987524,58
10.7522454,59.9138688,32.8597419,39.9333635,58
11.4041024,47.2692124,11.5819806,48.1351253,58
11.5819806,48.1351253,34.7817676,32.0852999,58
11.97456,57.70887,4.3006999,52.0704978,58
12.4963655,41.9027835,26.729006300000002,58.3776252,58
14.5057515,46.0569465,4.8951679,52.3702157,58
15.981919,45.8150108,4.3517103,50.8503396,58
16.3738189,48.2081743,9.9936818,53.5510846,58
16.3738189,48.2081743,24.1051864,56.9496487,58
16.3738189,48.2081743,26.729006300000002,58.3776252,58
-21.8174393,64.1265206,-3.7037902,40.4167754,59
-5.9844589,37.3890924,2.3522219,48.856614,59
-3.7037902,40.4167754,2.2743419,48.8245306,59
-3.7037902,40.4167754,13.1910073,55.7046601,59
-3.7037902,40.4167754,15.439504,47.070714,59
-2.2426305,53.4807593,4.8951679,52.3702157,59
-2.2426305,53.4807593,13.404954,52.5200066,59
2.1396748,41.4900419,2.3522219,48.856614,59
2.3522219,48.856614,9.0576448,48.5216364,59
2.3522219,48.856614,28.9783589,41.0082376,59
4.3517103,50.8503396,8.8016937,53.0792962,59
4.4970097000000004,52.1601144,4.8951679,52.3702157,59
11.0119611,49.5896744,2.3522219,48.856614,59
11.97456,57.70887,23.7275388,37.9838096,59
12.4963655,41.9027835,4.4970097000000004,52.1601144,59
12.4963655,41.9027835,6.0838868,50.7753455,59
12.4963655,41.9027835,22.9444191,40.6400629,59
12.5683371,55.6760968,21.0122287,52.2296756,59
14.4378005,50.0755381,14.5057515,46.0569465,59
18.0685808,59.3293235,5.1214201,52.0907374,59
21.0122287,52.2296756,24.1051864,56.9496487,59
21.0122287,52.2296756,24.6559001,60.2054911,59
24.6559001,60.2054911,4.3570677,52.0115769,59
26.1025384,44.4267674,4.3006999,52.0704978,59
-9.1393366,38.7222524,14.4378005,50.0755381,60
-9.1393366,38.7222524,23.3218675,42.6977082,60
-6.2603097,53.3498053,14.4378005,50.0755381,60
-3.7037902,40.4167754,4.4970097000000004,52.1601144,60
-3.7037902,40.4167754,25.1442126,35.3387352,60
-3.6372245,40.5372512,2.3522219,48.856614,60
-1.7797176,51.5557739,13.404954,52.5200066,60
-1.2577263,51.7520209,0.121817,52.205337,60
-0.1277583,51.5073509,6.8936619,52.2215372,60
-0.1277583,51.5073509,10.202726,56.1460465,60
2.1734035,41.3850639,24.938379,60.1698557,60
2.3522219,48.856614,6.9292732,46.9899874,60
11.2558136,43.7695604,11.5819806,48.1351253,60
11.5819806,48.1351253,2.130544,48.825415,60
11.5819806,48.1351253,23.3218675,42.6977082,60
12.5683371,55.6760968,19.040235,47.497912,60
13.1910073,55.7046601,18.0685808,59.3293235,60
14.4378005,50.0755381,26.1025384,44.4267674,60
15.6213727,58.410807,2.3522219,48.856614,60
18.0685808,59.3293235,4.3570677,52.0115769,60
18.0685808,59.3293235,8.4036527,49.0068901,60
18.0685808,59.3293235,9.9936818,53.5510846,60
34.7817676,32.0852999,4.3517103,50.8503396,60
-8.4863157,51.8968917,11.5819806,48.1351253,61
-3.7037902,40.4167754,-4.251806,55.864237,61
-3.7037902,40.4167754,8.8016937,53.0792962,61
-3.7037902,40.4167754,9.7320104,52.3758916,61
-3.6372245,40.5372512,-3.7037902,40.4167754,61
-3.188267,55.953252,9.1859243,45.4654219,61
