lon,lat,address,city_contribution
-74.21225,4.717029,"Funza, Cundinamarca, Colombia",83154
-74.1723667,40.735657,"Newark, NJ, USA",371995
-74.072092,4.7109886,"Bogotá, Bogota, Colombia",2448622.99
-74.0323626,40.7439905,"Hoboken, NJ, USA",80918
-74.0059413,40.7127837,"New York, NY, USA",4264040.44
-73.7990191,45.4719655,"Pointe-Claire, QC, Canada",34755
-73.7845651,43.0831301,"Saratoga Springs, NY, USA",38633.62
-73.7562317,42.6525793,"Albany, NY, USA",712869.51
-73.567256,45.5016889,"Montreal, QC, Canada",4266493.4
-73.5491361,52.9399159,"Québec, Canada",215068
-73.5041752,45.4920344,"Saint-Lambert, QC, Canada",107570.51
-73.2425333,-39.8173788,"Valdivia, Los Ríos Region, Chile",324508.12
-73.0443904,-36.8201352,"Concepción, Bío Bío Region, Chile",223090
-72.9278835,41.308274,"New Haven, CT, USA",1554764
-72.2495231,41.8084314,"Storrs, Mansfield, CT, USA",46732
-71.6484804,-35.4232444,"Talca, Maule Region, Chile",122925
-71.6126885,-33.047238,"Valparaíso, Valparaiso Region, Chile",356904
-71.3389183,-29.9590009,"Coquimbo, Coquimbo Region, Chile",108900
-71.2356113,42.3764852,"Waltham, MA, USA",115000
-71.2250533,42.3497948,"West Newton, Newton, MA, USA",52804.5
-71.1097335,42.3736158,"Cambridge, MA, USA",888959.41
-71.0588801,42.3600825,"Boston, MA, USA",4405124.75
-71.0040013,42.2079017,"Braintree, MA, USA",54311
-70.6730857,41.5264977,"Woods Hole, Falmouth, MA, USA",107575
-70.6692655,-33.4488897,"Santiago, Santiago Metropolitan Region, Chile",631276.2
-70.6504492,-33.4378305,"Santiago, Santiago Metropolitan Region, Chile",4900767.68
-70.6093325,-33.4314474,"Providencia, Santiago Metropolitan Region, Chile",327169.16
-70.3975022,-23.6509279,"Antofagasta, Antofagasta Region, Chile",781385.09
-70.050314,-15.234875,"Puno, Peru",124288.35
-69.9651325,18.4318228,"SEPROCORP (Santo Domingo, Calle B, Santo Domingo, Dominican Republic",115667
-69.9312117,18.4860575,"Santo Domingo, Dominican Republic",59064
-68.8824233,12.1224221,"Curacao, Curaçao",98440
-68.8824233,12.1224221,"Willemstad, Curaçao",153293
-68.2039123,44.3876119,"Bar Harbor, ME, USA",916951
-68.1192936,-16.489689,"La Paz, Bolivia",275715.9
-67.9972104,10.1579312,"Valencia, Carabobo, Venezuela",44160
-66.9036063,10.4805937,"Caracas, Capital District, Venezuela",208440
-66.1653224,-17.4139766,"Cochabamba, Bolivia",1103939.93
-65.4231976,-24.7821269,"Salta, Salta Province, Argentina",306400
-65.2616207,-24.3893458,"El Carmen, Jujuy, Argentina",130000
-64.6332782,18.4334704,"Tortola, British Virgin Islands",17211
-64.3493441,-33.1231585,"Río Cuarto, Cordoba, Argentina",113787
-64.1887761,-31.4200833,"Córdoba, Cordoba, Argentina",1469067
-63.5216019,-20.0249637,"Camiri, Bolivia",108016.5
-63.1560853,-17.8145819,"Santa Cruz de la Sierra, Bolivia",526085
-61.5340424,16.2376869,"Pointe-a-Pitre, Guadeloupe",107107
-61.3997773,10.6473412,"St Augustine, Trinidad and Tobago",89898.52
-61.0587804,14.6160647,"Fort-de-France Bay, Martinique",47080
-60.6505388,-32.9442426,"Rosario, Santa Fe Province, Argentina",956723.65
-60.0217314,-3.1190275,"Manaus, AM, Brazil",381680
-59.5988089,13.1132219,"Saint Michael, Barbados",177727.8
-59.1208805,-34.5633312,"Luján, Buenos Aires Province, Argentina",51934.59
-58.5372696,-34.5759506,"San Martín, Buenos Aires Province, Argentina",577320
-58.5228619,-34.8537327,"Ezeiza, Buenos Aires Province, Argentina",138747
-58.3815591,-34.6036844,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",7484431.84
-58.2800827,-34.7108688,"Bernal, Buenos Aires Province, Argentina",451200
-58.1551255,6.8012793,"Georgetown, Guyana",698600.2
-57.9535657,-34.9204948,"La Plata, Buenos Aires Province, Argentina",180000
-57.5426106,-38.0054771,"Mar del Plata, Buenos Aires Province, Argentina",296448
-56.8607055,-37.1145662,"Pinamar, Buenos Aires Province, Argentina",37518
-56.1645314,-34.9011127,"Montevideo, Montevideo Department, Uruguay",2469100.44
-55.2038278,5.8520355,"Paramaribo, Suriname",132200
-52.7128315,47.5605413,"St. John's, NL, Canada",103000
-52.3134531,4.92242,"Cayenne, French Guiana",11111.95
-52.1075802,-32.0353776,"Rio Grande - Carreiros, Rio Grande - RS, Brazil",22050
-51.694138,64.1814099,"Nuuk, Greenland",1126194.11
-51.2176584,-30.0346471,"Porto Alegre, RS, Brazil",633108
-51.1695824,-23.3044524,"Londrina, PR, Brazil",160560
-50.2188556,-27.2423392,"State of Santa Catarina, Brazil",190971
-49.4052251,-25.586431,"Araucária, PR, Brazil",375900
-49.267137,-25.4289541,"Curitiba, State of Paraná, Brazil",722745.2
-49.2647943,-16.6868912,"Goiânia, State of Goiás, Brazil",72000
